#|num|weight|mean|covariance matrix|
|0|644.85193586|-5.37814493537 25.0467111425 8.69793806995|60.0727112892 6.14473577173 7.90364096042 6.14473577173 46.8974979891 -1.00601955639 7.90364096042 -1.00601955639 38.1403972572|
|1|833.236337188|-2.58409917636 21.2799693882 3.8120885381|72.0457877505 0.205620824001 0.799998785235 0.205620824001 45.7112929804 -2.7490944763 0.799998785235 -2.7490944763 28.9459473237|
|2|1222.78812984|-12.6812319408 18.188058592 6.10157385336|24.9716545102 4.41951648105 2.84663619658 4.41951648105 33.2688615694 -0.288613156053 2.84663619658 -0.288613156053 33.0590056777|
|3|1115.31139069|4.50811765388 26.3476237377 3.02791635053|45.1291474699 -9.39818744494 4.80394243567 -9.39818744494 38.0725302067 0.207390614529 4.80394243567 0.207390614529 27.1195487358|
|4|831.83534875|-0.247092923109 20.1032282297 9.03599571592|69.2919897783 5.998083249 -2.09968947705 5.998083249 38.2747584429 6.29578150902 -2.09968947705 6.29578150902 37.8562064122|
|5|1085.464493|6.07344693297 23.9411428381 7.84069331292|36.2402274021 -4.6419678497 -2.81496301972 -4.6419678497 47.6367341288 3.96294041767 -2.81496301972 3.96294041767 38.6778401941|
|6|893.677024684|-1.62809852117 27.650188853 4.590879618|62.1499710826 0.0849691032962 -1.64216630526 0.0849691032962 37.1635347617 5.54113303594 -1.64216630526 5.54113303594 33.3674124023|
|7|1632.00807809|-16.124373133 32.7423126164 9.26923155292|25.2418910776 -10.1154430124 2.94138457955 -10.1154430124 30.5979026625 -3.04817446313 2.94138457955 -3.04817446313 16.0985333329|
|8|1004.75404199|-8.90462737188 23.8543102278 3.07707732224|46.1532079315 5.21513980882 -4.18012570152 5.21513980882 45.1841639002 3.86081404962 -4.18012570152 3.86081404962 22.7817461934|
|9|1013.34752272|-9.93234038239 18.5828575797 9.76506698692|37.4299069574 4.15809561154 8.25904946232 4.15809561154 30.4077385054 3.25811078818 8.25904946232 3.25811078818 33.7516934853|
|10|910.014539413|3.04561882585 24.8571107332 12.7674008963|37.6437718808 1.62533057485 -4.91695444667 1.62533057485 43.6625365588 2.2592542982 -4.91695444667 2.2592542982 28.2555671097|
|11|1337.82651959|5.01356314894 28.9636445727 8.59662611548|32.6751598995 -11.6112844256 -3.25776850417 -11.6112844256 35.5008028893 -2.0918637018 -3.25776850417 -2.0918637018 42.6043416127|
|12|1562.66573818|4.11660517872 12.1125087398 4.8163027509|20.5071575614 -4.61860276972 -0.391458938125 -4.61860276972 26.1490742752 1.27214246501 -0.391458938125 1.27214246501 26.5736577927|
