#|num|weight|mean|covariance matrix|
|0|820.122655394|2.95357521132 18.3770319346 -26.2836538444|71.7555164993 -8.28205517542 -26.7903880028 -8.28205517542 63.4145641002 17.1197619719 -26.7903880028 17.1197619719 53.8697853642|
|1|305.078533612|-0.0306373328263 3.67473662238 -17.6988131443|66.2338880979 11.065169339 -33.0008618117 11.065169339 95.3061832744 -7.38888905681 -33.0008618117 -7.38888905681 91.2726224939|
|2|673.50487559|9.45016302751 -0.378101943443 -30.8362420582|49.8048476296 26.5815476232 -16.9917625771 26.5815476232 85.0473803077 -13.0930873173 -16.9917625771 -13.0930873173 43.501353525|
|3|1505.54876736|-9.34934146073 -8.03272532022 -12.2489280158|54.9656457284 -15.3829102623 -14.5060303835 -15.3829102623 31.1332015124 1.21277109757 -14.5060303835 1.21277109757 61.6319461845|
|4|1389.64143904|-0.570834799085 -13.7298893376 -24.2585854904|27.234598024 -0.3619322078 -1.5726116427 -0.3619322078 55.8170166163 19.7799845741 -1.5726116427 19.7799845741 46.3909065973|
|5|776.422056377|-3.85959940201 16.4021190758 -12.6235035474|51.5989430894 5.08769132016 -7.94927673132 5.08769132016 87.1780561206 -28.0928306599 -7.94927673132 -28.0928306599 49.0828106324|
|6|2467.49046409|19.7501243035 11.7150088757 -34.1010586491|32.2747350083 -3.36647352717 -3.04021905369 -3.36647352717 71.1463811022 -12.5311489827 -3.04021905369 -12.5311489827 22.4609115635|
|7|482.912920286|5.38934062832 13.3342149392 -25.5274851769|68.6508833684 -13.4504383368 -27.8812008182 -13.4504383368 88.3768870565 14.4767552125 -27.8812008182 14.4767552125 64.1838472859|
|8|2794.23319827|-5.45205318889 -2.40308158234 -1.56391400976|43.0510961107 -10.7841962135 -11.6950987077 -10.7841962135 62.7021173236 19.5990389216 -11.6950987077 19.5990389216 30.4848217814|
|9|672.631142348|-7.94040156004 14.5779450946 -18.6023048776|39.1009605592 15.4549938382 -13.487454565 15.4549938382 95.5424796279 -3.91120394943 -13.487454565 -3.91120394943 48.1276544053|
